FirstName	LastName	Country	City	Email	HomePhone	validation_email	phone_validation
Татьяна	Максимова	Россия	Башкортостан, Бирский район, Бирск				
Кирилл	Кулешов	Россия	Москва				
Абдул	Абигасанов	Россия	Дагестан, Махачкала				
Margarita	Timofeeva	Россия	Электросталь				
Людмила	Сбоева (Панасюк)	Россия	Марий Эл, Волжский район, Волжск				
Петро	Порошенко	Украина	Херсонская область, Херсон	qwerty@gmail.com		good	
Татьяна	Максимова	Россия	Башкортостан, Бирский район, Бирск				
Анастасия	Басорева	Россия	Прокопьевск		чёрный		-
Абдул	Абигасанов	Россия	Дагестан, Махачкала				
Анастасия	Басорева	Россия	Прокопьевск				
Аделина	Садыкова	Россия	Омская область, Омск				
Абдул	Абигасанов	Россия	Дагестан, Махачкала	qwerty@gmail.com		good	
Татьяна	Максимова	Россия	Башкортостан, Бирский район, Бирск				
Маргарита	Тимофеева		Электросталь		Sony Ericsson		-
Петро	Порошенко	Украина	Херсонская область, Херсон		89099678767		good
Анастасия	Басорева	Россия	Прокопьевск				
Аделина	Садыкова	Россия	Омская область, Омск				
Татьяна	Максимова	Россия	Башкортостан, Бирский район, Бирск		89099678767		good
Абдул	Абигасанов	Россия	Дагестан, Махачкала		89099678767		good
Петро	Порошенко	Украина	Херсонская область, Херсон	qwerty@gmail.com	89099678767	good	good
Аделина	Садыкова	Россия	Омская область, Омск		89099678767		good
Абдул	Абигасанов	Россия	Дагестан, Махачкала				
Виталий	Кирпиченко		Феодосия		38099258352		-
Anastasia	Basoreva	Россия	Прокопьевск				
Татьяна	Максимова	Россия	Башкортостан, Бирский район, Бирск				
Аделина	Садыкова	Россия	Омская область, Омск				
Татьяна	Максимова	Россия	Башкортостан, Бирский район, Бирск				
Абдул	Абигасанов	Россия	Дагестан, Махачкала				
Петро	Порошенко	Украина	Херсонская область, Херсон				
Анеля	Тургынбай	Казахстан	Кордай	qwerty@gmail.com		good	
Аделина	Садыкова	Россия	Омская область, Омск				
Татьяна	Максимова	Россия	Башкортостан, Бирский район, Бирск				
Абдул	Абигасанов	Россия	Дагестан, Махачкала				
Петро	Порошенко	Украина	Херсонская область, Херсон				
Аделина	Садыкова	Россия	Омская область, Омск	qwerty@gmail.com		good	
Абдул	Абигасанов	Россия	Дагестан, Махачкала				
Виталий	Кирпиченко		Феодосия		38099258352		-
Анастасия	Басорева		Прокопьевск		белый		-
Аделина	Садыкова	Россия	Омская область, Омск				
Анастасия	Басорева	Россия	Прокопьевск	qwerty@gmail.com		good	
Аделина	Садыкова	Россия	Омская область, Омск				
Universum	Tour-Center	Беларусь	Минская область, Минский район, Минск	qwerty@gmail.com	+375445349688	good	-
Абдул	Абигасанов	Россия	Дагестан, Махачкала	qwerty@gmail.com	+375445349689	good	-
Анастасия	Басорева	Россия	Прокопьевск	qwerty@gmail.com		good	
Аделина	Садыкова	Россия	Омская область, Омск	qwerty@gmail.com		good	
Universum	Tour-Center	Беларусь	Минская область, Минский район, Минск	qwerty@gmail.com		good	
Абдул	Абигасанов	Россия	Дагестан, Махачкала	qwerty@gmail.com		good	
Анастасия	Басорева	Россия	Прокопьевск	qwerty@gmail.com		good	
Аделина	Садыкова	Россия	Омская область, Омск	qwerty@gmail.com		good	
Дарья	Бондаренко	Украина	Одесса		89099678767		good
Universum	Tour-Center	Беларусь	Минская область, Минский район, Минск	qwerty@gmail.com	89099678767		good
Хроме	Докуро	Италия	Regione Emilia-Romagna, Provincia di Bologna, Bologna		89099678767		good
Аделина	Садыкова	Россия	Омская область, Омск		89099678767		good
Абдул	Абигасанов	Россия	Дагестан, Махачкала		89099678767		good
Дарья	Бондаренко	Украина	Одесса		89099678767		good
Universum	Tour-Center	Беларусь	Минская область, Минский район, Минск	test_email1@gmail.com	89099678767	good	good
Хроме	Докуро	Италия	Regione Emilia-Romagna, Provincia di Bologna, Bologna	test_email1@gmail.com	89099477767	good	good
Дарья	Бондаренко	Украина	Одесса	test_email1@gmail.com	89099477767	good	good
Universum	Tour-Center	Беларусь	Минская область, Минский район, Минск	test_email1@gmail.com	89099477767	good	good
Абдул	Абигасанов	Россия	Дагестан, Махачкала	test_email1@gmail.com	89099477767	good	good
Аделина	Садыкова	Россия	Омская область, Омск	test_email1@gmail.com	89099477767	good	good
Дарья	Бондаренко	Украина	Одесса	test_email1@gmail.com	89099477767	good	good
Хроме	Докуро	Италия	Regione Emilia-Romagna, Provincia di Bologna, Bologna	test_email1@gmail.com	89099477767	good	good
Аделина	Садыкова	Россия	Омская область, Омск	test_email1@gmail.com	89099477767	good	good
Дарья	Бондаренко	Украина	Одесса	test_email1@gmail.com	89099477767	good	good
Universum	Tour-Center	Беларусь	Минская область, Минский район, Минск	test_email1@gmail.com		good	
Lady	Gaga	Россия	Чеченская, Грозный	test_email1@gmail.com	89280000002	good	good
Дарья	Бондаренко	Украина	Одесса	test_email1@gmail.com	89280000002	good	good
Universum	Tour-Center	Беларусь	Минская область, Минский район, Минск	test_email1@gmail.com	89280000002	good	good
Lady	Gaga	Россия	Чеченская, Грозный	test_email1@gmail.com	89280000002	good	good
Аделина	Садыкова	Россия	Омская область, Омск	test_email1@gmail.com	89280000002	good	good
Universum	Tour-Center	Беларусь	Минская область, Минский район, Минск	test_email1@gmail.com	89280000002	good	good
Оля	Кризькая	Украина	Мариуполь	test_email1@gmail.com	++++++++	good	
Хроме	Докуро	Италия	Regione Emilia-Romagna, Provincia di Bologna, Bologna	test_email1@gmail.com		good	
Universum	Tour-Center	Беларусь	Минская область, Минский район, Минск	test_email1@gmail.com		good	
Оля	Кризькая	Украина	Мариуполь	test_email1@gmail.com		good	
Хроме	Докуро	Италия	Regione Emilia-Romagna, Provincia di Bologna, Bologna	test_email1@gmail.com		good	
Universum	Tour-Center	Беларусь	Минская область, Минский район, Минск	test_email1@gmail.com		good	
Артём	Мицкович	Беларусь	Брест	test_email1@gmail.com		good	
Darya	Bondarenko	Украина	Одесса	test_email1@gmail.com		good	
Хроме	Докуро	Италия	Regione Emilia-Romagna, Provincia di Bologna, Bologna	test_email1@gmail.com		good	
Сергей	Владимирович Чинков		Москва	test_email1@gmail.com	+7 (915) 304-5210	good	
Александр	Мальков	Россия	Липецк	test_email1@gmail.com	+7 (915) 304-5211	good	
Lady	Gaga	Россия	Чеченская, Грозный	test_email1@gmail.com	+7 (915) 304-5212	good	
Павло	Ступак	Украина	Киевская область, Фастовский район, Фастов	test_email1@gmail.com	+7 (915) 304-5213	good	
Вова	Андрейковец	Беларусь	Минск	test_email1@gmail.com	samsung	good	
Данил	Павлов	Россия	Саяногорск	test_email1@gmail.com		good	
Universum	Tour-Center	Беларусь	Минская область, Минский район, Минск	test_email1@gmail.com		good	
Артём	Мицкович	Беларусь	Брест	test_email1@gmail.com		good	
Александр	Мальков	Россия	Липецк	test_email1@gmail.com		good	
Lady	Gaga		Грозный	test_email1@gmail.com	89280000001	good	
Павло	Ступак	Украина	Киевская область, Фастовский район, Фастов	test_email1@gmail.com	89280000001	good	
Вова	Андрейковец		Минск	test_email1@gmail.com	375295999702	good	
